C00002	C00081	R00722
C00104	C00008	R00722
C00104	C00081	R00722
C00008	C00104	-R00722
C00029	C00015	R00836
C00029	C00689	R00836
C00092	C00015	R00836
C00092	C00689	R00836
C21310	C18239	R11372
C21310	C00013	R11372
C00001	C18239	R11372
C00001	C00013	R11372
C00191	C00905	R01482
C00905	C00191	-R01482
C00236	C00118	-R01061
C00085	C00279	R01067
C00085	C00231	R01067
C00118	C00279	R01067
C00118	C00231	R01067
C00279	C00085	-R01067
C00231	C00085	-R01067
C00279	C00118	-R01067
C00231	C00118	-R01067
C00673	C00118	R01066
C00673	C00084	R01066
C00118	C00673	-R01066
C00084	C00673	-R01066
C00354	C00111	R01068
C00354	C00118	R01068
C00111	C00354	-R01068
C00118	C00354	-R01068
C00002	C00020	R01280
C00002	C00154	R01280
C00002	C00013	R01280
C00249	C00020	R01280
C00249	C00154	R01280
C00249	C00013	R01280
C00010	C00020	R01280
C00010	C00154	R01280
C00010	C00013	R01280
C00020	C00249	-R01280
C00154	C00249	-R01280
C00979	C00097	R00897
C00979	C00033	R00897
C00283	C00097	R00897
C00283	C00033	R00897
C00044	C00013	R00885
C00044	C00096	R00885
C00636	C00013	R00885
C00636	C00096	R00885
C00096	C00636	-R00885
C00002	C00575	R00089
C00002	C00013	R00089
C00002	C00008	R03471
C00002	C04556	R03471
C01279	C00008	R03471
C01279	C04556	R03471
C00008	C01279	-R03471
C04556	C01279	-R03471
C03373	C04556	R03472
C03373	C05198	R03472
C03373	C00073	R03472
C03373	C00058	R03472
C03373	C00237	R03472
C00019	C04556	R03472
C00019	C05198	R03472
C00019	C00073	R03472
C00019	C00058	R03472
C00019	C00237	R03472
C02375	C03585	R04258
C00007	C03585	R04258
C00576	C00114	-R08558
C00576	C00114	-R08557
C01094	C00111	R02568
C01094	C00577	R02568
C00111	C01094	-R02568
C00577	C01094	-R02568
C00576	C00719	R02565
C00576	C00004	R02565
C00576	C00080	R02565
C00003	C00719	R02565
C00003	C00004	R02565
C00003	C00080	R02565
C00001	C00719	R02565
C00001	C00004	R02565
C00001	C00080	R02565
C00576	C00719	R02566
C00576	C00005	R02566
C00576	C00080	R02566
C00006	C00719	R02566
C00006	C00005	R02566
C00006	C00080	R02566
C00001	C00719	R02566
C00001	C00005	R02566
C00001	C00080	R02566
C03912	C00025	R00708
C03912	C00005	R00708
C03912	C00080	R00708
C00006	C00025	R00708
C00006	C00005	R00708
C00006	C00080	R00708
C00001	C00025	R00708
C00001	C00005	R00708
C00001	C00080	R00708
C03912	C00025	R00707
C03912	C00004	R00707
C03912	C00080	R00707
C00003	C00025	R00707
C00003	C00004	R00707
C00003	C00080	R00707
C00001	C00025	R00707
C00001	C00004	R00707
C00001	C00080	R00707
C00222	C00024	R00706
C00222	C00011	R00706
C00222	C00005	R00706
C00222	C00080	R00706
C00010	C00024	R00706
C00010	C00011	R00706
C00010	C00005	R00706
C00010	C00080	R00706
C00006	C00024	R00706
C00006	C00011	R00706
C00006	C00005	R00706
C00006	C00080	R00706
C00222	C00024	R00705
C00222	C00011	R00705
C00222	C00004	R00705
C00222	C00080	R00705
C00010	C00024	R00705
C00010	C00011	R00705
C00010	C00004	R00705
C00010	C00080	R00705
C00003	C00024	R00705
C00003	C00011	R00705
C00003	C00004	R00705
C00003	C00080	R00705
C00022	C00186	-R00703
C04112	C04558	R09229
C15522	C00268	R04734
C15522	C00001	R04734
C00268	C15522	-R04734
C00002	C00008	R01547
C00002	C00206	R01547
C00360	C00008	R01547
C00360	C00206	R01547
C00008	C00360	-R01547
C00206	C00360	-R01547
C02923	C06210	R04089
C00007	C06210	R04089
C02376	C00178	R01411
C02376	C00014	R01411
C00001	C00178	R01411
C00001	C00014	R01411
C04752	C00013	R11312
C04752	C01081	R11312
C04752	C00011	R11312
C20246	C00013	R11312
C20246	C01081	R11312
C20246	C00011	R11312
C00068	C03028	R11319
