C05125	C00084	-R00755
C18902	C05703	R09372
C05703	C18902	-R09372
C14180	C01031	R06983
C05271	C05270	R06985
C04582	C15650	R07392
C00054	C00020	R00188
C15650	C15606	R07395
C00131	C00206	R02868
C00794	C01096	R02868
C01137	C00170	R02869
C00315	C00750	R02869
C00170	C01137	-R02869
C00750	C00315	-R02869
C00748	C05778	R02864
C05778	C00748	-R02864
C00794	C01096	R02865
C00025	C00026	R07396
C01180	C00073	R07396
C00026	C00025	-R07396
C00073	C01180	-R07396
C03838	C04376	R04326
C04376	C03838	-R04326
C05111	C01189	-R04328
C00064	C00025	R08244
C16618	C16619	R08244
C00025	C00064	-R08244
C16619	C16618	-R08244
C04646	C16618	R08240
C16618	C04646	-R08240
C00900	C00022	R03050
C00022	C00900	-R03050
C00900	C04039	R03051
C02165	C00909	-R03057
C00026	C00025	R02283
C00437	C01250	R02283
C00025	C00026	-R02283
C01250	C00437	-R02283
C00037	C00430	R00830
C00430	C00037	-R00830
C00365	C01346	R02098
C01346	C00365	-R02098
C00459	C00363	R02095
C00364	C00363	R02094
C00363	C00364	-R02094
C00459	C00363	R02097
C00299	C00105	R02097
C00459	C00363	R02096
C00475	C00055	R02096
C00363	C00459	-R02096
C00055	C00475	-R02096
C00286	C00361	R02091
C00475	C00055	R02091
C00361	C00286	-R02091
C00055	C00475	-R02091
C00362	C00361	R02090
C00361	C00362	-R02090
C00363	C00459	R02093
C00459	C00363	-R02093
C00363	C00364	R02092
C20483	C04899	R10281
C04899	C20483	-R10281
C20482	C04856	R10280
C04856	C20482	-R10280
C00169	C01563	-R01395
C00026	C00025	-R00248
C01165	C00025	R00245
C00026	C00025	-R00243
C11038	C11039	R00139
C11039	C11038	-R00139
C05983	C00163	-R01354
C00109	C06006	R08648
C01118	C00042	R03260
C00097	C02291	R03260
C01118	C02291	R03260
C01081	C00378	R02135
C04294	C00378	-R02133
C01279	C00378	-R02133
C00463	C00078	R00674
C00065	C00078	R00674
C03758	C05587	R04301
C05587	C03758	-R04301
C03175	C01269	R03460
C16217	C16218	R07760
C16218	C16217	-R07760
C16218	C00412	R07761
C00311	C00048	R00479
C00311	C00042	R00479
C00048	C00311	-R00479
C00042	C00311	-R00479
C03479	C00445	R02301
C03479	C00445	R02300
C05583	C05584	R04892
C00184	C00116	-R01034
C00433	C00026	R00264
C00311	C00026	R00267
C00026	C00311	-R00267
C17234	C20905	R11101
C00131	C00206	R01330
C00159	C00275	R01330
C00026	C00025	R03243
C01100	C01267	R03243
C00025	C00026	-R03243
C01267	C01100	-R03243
C01107	C01143	R03245
C01143	C01107	-R03245
C00504	C00415	-R02236
C18075	C05284	R08980
C05284	C18075	-R08980
C04494	C01228	R03409
C01801	C00673	-R02750
C05519	C01888	R10852
C03508	C05519	-R10851
C00705	C00458	R02326
C00458	C00705	-R02326
C03150	C00455	R02324
C01233	C00189	R01470
C01233	C00093	R01470
C01245	C01284	R10065
C00095	C00085	R00876
C03263	C05770	R04178
C05770	C03263	-R04178
C00026	C00025	R04171
C03227	C05645	R04171
C00025	C00026	-R04171
C05645	C03227	-R04171
C00026	C00025	R04173
C01005	C03232	R04173
C00025	C00026	-R04173
C03232	C01005	-R04173
C11526	C01204	R05779
C00792	C03771	R02923
C21748	C21749	R11894
C21749	C21748	-R11894
C03765	C00642	R02697
C03765	C00642	R02695
C02962	C18096	R09030
C18096	C02962	-R09030
C00074	C00022	-R00200
C00022	C00024	R00209
C11355	C00568	R05553
C11355	C00022	R05553
C00026	C00025	R01648
C00334	C00232	R01648
C00025	C00026	-R01648
C00232	C00334	-R01648
C00118	C00231	R01641
C05382	C00117	R01641
C00231	C00118	-R01641
C00117	C05382	-R01641
C15785	C15786	R07429
C00117	C05382	R06590
C12214	C12215	R06590
C05382	C00117	-R06590
C12215	C12214	-R06590
C01051	C15527	R07237
C03226	C01967	R07235
C01967	C03226	-R07235
C01118	C00042	R00999
C01118	C00109	R00999
