C01097	C00112	R03237
C01097	C03785	R03237
C00075	C00015	R03238
C00075	C03785	R03238
C01097	C00015	R03238
C01097	C03785	R03238
C00081	C00104	R03239
C00081	C03785	R03239
C01097	C00104	R03239
C01097	C03785	R03239
C00212	C00147	R01561
C00212	C00620	R01561
C00009	C00147	R01561
C00009	C00620	R01561
C00147	C00212	-R01561
C00620	C00212	-R01561
C00002	C00008	R01567
C00002	C00364	R01567
C00214	C00008	R01567
C00214	C00364	R01567
C00526	C00106	R02484
C00526	C00672	R02484
C00009	C00106	R02484
C00009	C00672	R02484
C00106	C00526	-R02484
C00672	C00526	-R02484
C05985	C00804	R02940
C05985	C00004	R02940
C05985	C00080	R02940
C00003	C00804	R02940
C00003	C00004	R02940
C00003	C00080	R02940
C00001	C00804	R02940
C00001	C00004	R02940
C00001	C00080	R02940
C00002	C00013	R00161
C00002	C00016	R00161
C00061	C00013	R00161
C00061	C00016	R00161
C00089	C00095	R00801
C00089	C00031	R00801
C00001	C00095	R00801
C00001	C00031	R00801
C00089	C02336	R00802
C00089	C00267	R00802
C00001	C02336	R00802
C00001	C00267	R00802
C00002	C00008	R00571
C00002	C00009	R00571
C00002	C00063	R00571
C00075	C00008	R00571
C00075	C00009	R00571
C00075	C00063	R00571
C00014	C00008	R00571
C00014	C00009	R00571
C00014	C00063	R00571
C00112	C00022	-R00572
C00074	C00022	-R00572
C00002	C00008	R00573
C00002	C00009	R00573
C00002	C00063	R00573
C00002	C00025	R00573
C00075	C00008	R00573
C00075	C00009	R00573
C00075	C00063	R00573
C00075	C00025	R00573
C00064	C00008	R00573
C00064	C00009	R00573
C00064	C00063	R00573
C00064	C00025	R00573
C00001	C00008	R00573
C00001	C00009	R00573
C00001	C00063	R00573
C00001	C00025	R00573
C00002	C00013	R03005
C00002	C00857	R03005
C01185	C00013	R03005
C01185	C00857	R03005
C11811	C11453	R10859
C11811	C02745	R10859
C00001	C11453	R10859
C00001	C02745	R10859
C02869	C11453	R10859
C02869	C02745	R10859
C11453	C11811	-R10859
C02745	C11811	-R10859
C11453	C02869	-R10859
C02745	C02869	-R10859
C01762	C00385	R02297
C01762	C00620	R02297
C00009	C00385	R02297
C00009	C00620	R02297
C00385	C01762	-R02297
C00620	C01762	-R02297
C05841	C00253	R02295
C05841	C00620	R02295
C05841	C00080	R02295
C00009	C00253	R02295
C00009	C00620	R02295
C00009	C00080	R02295
C00253	C05841	-R02295
C00620	C05841	-R02295
C03150	C00153	R02294
C03150	C00620	R02294
C00009	C00153	R02294
C00009	C00620	R02294
C00002	C00008	R00104
C00002	C00006	R00104
C00003	C00008	R00104
C00003	C00006	R00104
C01101	C00231	R05850
C00231	C01101	-R05850
C00357	C04257	R02087
C04257	C00357	-R02087
C06754	C06755	R05286
C06754	C00004	R05286
C06754	C00080	R05286
C00003	C06755	R05286
C00003	C00004	R05286
C00003	C00080	R05286
C00001	C06755	R05286
C00001	C00004	R05286
C00001	C00080	R05286
C00138	C00139	R01195
C00138	C00005	R01195
C00006	C00139	R01195
C00006	C00005	R01195
C00080	C00139	R01195
C00080	C00005	R01195
C01528	C05684	R03596
C01528	C00005	R03596
C01528	C00080	R03596
C00006	C05684	R03596
C00006	C00005	R03596
C00006	C00080	R03596
C00001	C05684	R03596
C00001	C00005	R03596
C00001	C00080	R03596
C00002	C00013	R00137
C00002	C00003	R00137
C00455	C00013	R00137
C00455	C00003	R00137
C00051	C00127	R07034
C00051	C04805	R07034
C00051	C00001	R07034
C05356	C00127	R07034
C05356	C04805	R07034
C05356	C00001	R07034
C00127	C05356	-R07034
C04805	C05356	-R07034
C00051	C00127	R07035
C00051	C04742	R07035
C00051	C00001	R07035
C05966	C00127	R07035
C05966	C04742	R07035
C05966	C00001	R07035
C00127	C05966	-R07035
C04742	C05966	-R07035
C00579	C00248	R01698
C00579	C00004	R01698
C00579	C00080	R01698
C00003	C00248	R01698
C00003	C00004	R01698
C00003	C00080	R01698
C00248	C00579	-R01698
C00199	C00231	R01529
C00231	C00199	-R01529
C00170	C00147	R01401
C00170	C03089	R01401
C00001	C00147	R01401
C00001	C03089	R01401
C00002	C00008	R00127
C00020	C00008	R00127
C00008	C00020	-R00127
C00188	C20641	R10463
C00188	C00013	R10463
C00188	C00001	R10463
C00002	C20641	R10463
C00002	C00013	R10463
C00002	C00001	R10463
C00288	C20641	R10463
C00288	C00013	R10463
C00288	C00001	R10463
C00080	C20641	R10463
C00080	C00013	R10463
C00080	C00001	R10463
C00577	C00258	R01752
C00577	C00004	R01752
C00577	C00080	R01752
C00003	C00258	R01752
C00003	C00004	R01752
C00003	C00080	R01752
C00001	C00258	R01752
C00001	C00004	R01752
C00001	C00080	R01752
C06002	C02170	R03869
C06002	C00004	R03869
C06002	C00080	R03869
C00003	C02170	R03869
C00003	C00004	R03869
C00003	C00080	R03869
C00001	C02170	R03869
C00001	C00004	R03869
C00001	C00080	R03869
C00064	C00025	R00256
C00064	C00014	R00256
C00001	C00025	R00256
C00001	C00014	R00256
C02576	C11924	R06366
C02576	C00004	R06366
C02576	C00080	R06366
C00001	C11924	R06366
C00001	C00004	R06366
C00001	C00080	R06366
C00003	C11924	R06366
C00003	C00004	R06366
C00003	C00080	R06366
C00027	C00127	R00274
C00027	C00001	R00274
C00051	C00127	R00274
C00051	C00001	R00274
C00445	C00234	R01655
