R01529	-R01529
R09960	-R09960
R09961	-R09961
R01402	-R01402
R05595	-R05595
R01155	-R01155
R05597	-R05597
R05197	-R05197
R04826	-R04826
R04824	-R04824
R04825	-R04825
R10606	-R10606
R10605	-R10605
R10603	-R10603
R10600	-R10600
R00127	-R00127
R00126	-R00126
R05449	-R05449
R05339	-R05339
R05338	-R05338
R06979	-R06979
R06976	-R06976
R06974	-R06974
R06975	-R06975
R10466	-R10466
R10465	-R10465
R08263	-R08263
R11730	-R11730
R11731	-R11731
R11736	-R11736
R11739	-R11739
R08921	-R08921
R07752	-R07752
R07754	-R07754
R08924	-R08924
R07758	-R07758
R03045	-R03045
R03046	-R03046
R07893	-R07893
R02928	-R02928
R00460	-R00460
R00461	-R00461
R00468	-R00468
R06404	-R06404
R02318	-R02318
R02310	-R02310
R01759	-R01759
R05097	-R05097
R01757	-R01757
R01754	-R01754
R05839	-R05839
R03547	-R03547
R00806	-R00806
R00807	-R00807
R02926	-R02926
R02921	-R02921
R08966	-R08966
R02920	-R02920
R09571	-R09571
R09570	-R09570
R04123	-R04123
R09752	-R09752
R09751	-R09751
R09750	-R09750
R09757	-R09757
R09759	-R09759
R09758	-R09758
R03861	-R03861
R03868	-R03868
R03956	-R03956
R03955	-R03955
R08960	-R08960
R04673	-R04673
R03952	-R03952
R10818	-R10818
R10819	-R10819
R10810	-R10810
R10817	-R10817
R00258	-R00258
R00253	-R00253
R08004	-R08004
R00785	-R00785
R00784	-R00784
R07944	-R07944
R03782	-R03782
R03780	-R03780
R03785	-R03785
R01322	-R01322
R01323	-R01323
R01324	-R01324
R01325	-R01325
R01329	-R01329
R07416	-R07416
R07412	-R07412
R08314	-R08314
R00108	-R00108
R04451	-R04451
R04901	-R04901
R02124	-R02124
R02126	-R02126
R04809	-R04809
R02122	-R02122
R04804	-R04804
R04806	-R04806
R04807	-R04807
R10663	-R10663
R10665	-R10665
R10664	-R10664
R09329	-R09329
R05316	-R05316
R05315	-R05315
R06950	-R06950
R06951	-R06951
R06952	-R06952
R10488	-R10488
R11285	-R11285
R11536	-R11536
R11530	-R11530
R11531	-R11531
R03418	-R03418
R04379	-R04379
R04374	-R04374
R11759	-R11759
R11751	-R11751
R11754	-R11754
R00105	-R00105
R08279	-R08279
R08278	-R08278
R08275	-R08275
R07775	-R07775
R07774	-R07774
R03069	-R03069
R03063	-R03063
R03066	-R03066
R03065	-R03065
R03064	-R03064
R06420	-R06420
R02331	-R02331
R00027	-R00027
R00025	-R00025
R05502	-R05502
R05503	-R05503
R09515	-R09515
R05811	-R05811
R00864	-R00864
R00868	-R00868
R05818	-R05818
R05819	-R05819
R04143	-R04143
R04147	-R04147
R05508	-R05508
R05509	-R05509
R03885	-R03885
R03884	-R03884
R03881	-R03881
R05767	-R05767
R05762	-R05762
R05760	-R05760
R05761	-R05761
R05768	-R05768
R01307	-R01307
R10834	-R10834
