C00031	C00092	R00725
C00074	C00022	-R00724
C00042	C00091	R00727
C00091	C00042	-R00727
C00036	C00074	R00726
C00074	C00036	-R00726
C20587	C20534	R10356
C20534	C20587	-R10356
C00082	C01179	R00729
C00082	C00022	R00728
C00082	C00146	R00728
C00096	C00035	R05002
C05860	C05861	R05002
C00035	C00096	-R05002
C05861	C05860	-R05002
C05852	C06207	R05001
C10974	C06178	R05335
C00008	C00020	R00122
C11062	C02331	R05337
C02331	C11062	-R05337
C01263	C15509	R07271
C14604	C02814	R09287
C07297	C00100	-R05330
C20529	C20530	R10353
C20530	C20529	-R10353
C00029	C00015	R00836
C00092	C00689	R00836
C00029	C00689	R00836
C07096	C07097	R05448
C20526	C20527	R10352
C20527	C20526	-R10352
C05284	C05285	R04758
C05285	C05284	-R04758
C05271	C05270	-R04751
C05275	C05274	-R04753
C05275	C05274	-R04754
C16505	C16507	R08154
C16507	C16505	-R08154
C05280	C05279	R04756
C05279	C05280	-R04756
C16159	C04226	-R07984
C09694	C16508	R08155
C01957	C01852	R05834
C16506	C16504	-R08152
C16505	C09694	-R08153
C05941	C00433	R09253
C00129	C04145	R09250
C00129	C04145	R09251
C00134	C18326	R09256
C00134	C10497	R09257
C00082	C01179	R09254
C00022	C00041	R09254
C01179	C00082	-R09254
C00041	C00022	-R09254
C00179	C18325	R09255
C02952	C20271	R10022
C01921	C00695	R05835
C01921	C00037	R05835
C00052	C00015	R04531
C00611	C04847	R04531
C00128	C00055	R04532
C00611	C04886	R04532
C02657	C21312	R11370
C21312	C02657	-R11370
C21312	C21313	R11371
C21313	C21312	-R11371
C21310	C18239	R11372
C21134	C21135	R11373
C04621	C04622	R04538
C04622	C04621	-R04538
C00333	C15930	-R07676
C00448	C09684	R08373
C00131	C00206	R01140
C00095	C00085	R01140
C00448	C19749	R08370
C19797	C16145	-R09746
C02094	C06098	R09747
C18028	C01720	R10689
C20776	C00025	R10688
C20776	C12270	R10688
C12270	C00025	R10687
C12270	C01042	R10687
C00132	C20634	R10681
C20771	C20770	R10680
C20770	C20771	-R10680
C17702	C21267	R11295
C21267	C17702	-R11295
C00979	C00033	R10461
C07044	C20639	R10461
C00026	C00025	R10460
C20638	C01222	R10460
C06002	C02170	-R03871
C20990	C20988	R10978
C20988	C20990	-R10978
C01083	C20985	R10971
C20830	C20831	R10970
C20831	C20830	-R10970
C20986	C00117	R10973
